SURVEY: PS1MD
SNID:  PSc000076
IAUC:    UNKNOWN
RA:         129.2608  deg
DECL:        43.738  deg
MWEBV:  0.0245  +- 0.0000 MW E(B-V)
REDSHIFT_FINAL:  0.2600  +- 0.0000 CMB
SEARCH_PEAKMJD: 55207.0
FILTERS:    griz

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 390
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 56055.3 z NULL  -25.562 18.494 nan -0.786
OBS: 56056.3 z NULL  -19.201 47.275 nan -2.673
OBS: 56232.6 z NULL  3.345 18.121 -6.311 5.881
OBS: 56234.6 z NULL  -4.801 17.207 nan -3.891
OBS: 56243.6 z NULL  -11.284 20.886 nan -2.010
OBS: 56253.6 z NULL  -12.212 22.675 nan -2.016
OBS: 56255.6 z NULL  -1.434 13.399 nan -10.148
OBS: 56259.6 z NULL  -21.199 13.682 nan -0.701
OBS: 56270.5 z NULL  20.963 31.962 -8.304 1.655
OBS: 56285.6 z NULL  30.056 38.977 -8.695 1.408
OBS: 56289.5 z NULL  5.356 13.959 -6.822 2.830
OBS: 56300.6 z NULL  -18.271 15.347 nan -0.912
OBS: 56303.5 z NULL  -16.843 17.253 nan -1.112
OBS: 56308.6 z NULL  11.577 12.895 -7.659 1.209
OBS: 56313.4 z NULL  -20.153 11.831 nan -0.637
OBS: 56315.4 z NULL  1.067 16.964 -5.071 17.260
OBS: 56327.3 z NULL  64.751 32.535 -9.528 0.546
OBS: 56333.4 z NULL  -5.222 17.836 nan -3.709
OBS: 56335.5 z NULL  -22.380 16.194 nan -0.786
OBS: 56338.4 z NULL  -15.899 17.248 nan -1.178
OBS: 56348.3 z NULL  57.602 42.033 -9.401 0.792
OBS: 56351.5 z NULL  16.417 23.741 -8.038 1.570
OBS: 56353.3 z NULL  18.973 34.559 -8.195 1.978
OBS: 56356.4 z NULL  8.606 12.952 -7.337 1.634
OBS: 56359.4 z NULL  4.725 18.047 -6.686 4.147
OBS: 56370.3 z NULL  19.447 18.672 -8.222 1.042
OBS: 56386.3 z NULL  -3.055 17.356 nan -6.169
OBS: 56389.3 z NULL  -7.553 11.571 nan -1.663
OBS: 56392.2 z NULL  -12.534 15.504 nan -1.343
OBS: 56394.3 z NULL  5.102 18.284 -6.769 3.891
OBS: 56397.3 z NULL  11.460 18.203 -7.648 1.725
OBS: 56404.3 z NULL  -13.159 25.939 nan -2.140
OBS: 56421.3 z NULL  -3.391 18.174 nan -5.819
OBS: 56613.6 z NULL  -8.796 14.364 nan -1.773
OBS: 56624.6 z NULL  -13.355 14.202 nan -1.155
OBS: 56627.6 z NULL  7.080 21.450 -7.125 3.290
OBS: 56629.6 z NULL  -1.328 11.135 nan -9.107
OBS: 56632.6 z NULL  -3.805 16.800 nan -4.794
OBS: 56637.5 z NULL  -4.949 14.768 nan -3.240
OBS: 56639.5 z NULL  23.883 87.387 -8.445 3.973
OBS: 56643.5 z NULL  37.467 20.851 -8.934 0.604
OBS: 56648.5 z NULL  42.840 23.023 -9.080 0.583
OBS: 56651.5 z NULL  -15.385 15.239 nan -1.075
OBS: 56659.6 z NULL  -15.302 30.194 nan -2.142
OBS: 56662.5 z NULL  0.713 18.109 -4.632 27.584
OBS: 56667.6 z NULL  6.409 18.330 -7.017 3.105
OBS: 56676.6 z NULL  32.611 20.106 -8.783 0.669
OBS: 56678.4 z NULL  2.348 14.165 -5.927 6.549
OBS: 56681.5 z NULL  -4.649 11.829 nan -2.762
END:
